Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","2.1","Low","192.168.1.1","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","","","","","","2.9","0.0045","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10267","","","None","192.168.1.1","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-dropbear
SSH supported authentication : publickey,password
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","192.168.1.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.1.127 to 192.168.1.1 : 
192.168.1.127
192.168.1.1

Hop Count: 1
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10663","","3.3","Low","192.168.1.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 192.168.1.1
  IP address the DHCP server would attribute us : 192.168.1.127
  DHCP server(s) identifier : 192.168.1.1
  Netmask : 255.255.255.0
  Broadcast address : 192.168.1.255
  Router : 192.168.1.1
  Domain name server(s) : 192.168.1.1
  Domain name : lan

","","","","","","","","","Low","","","","2001/05/05","2019/03/06","","",""
"10863","","","None","192.168.1.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: ZZ
State/Province: Somewhere
Locality: Unknown
Organization: OpenWrtf1242de8
Common Name: OpenWrt

Issuer Name: 

Country: ZZ
State/Province: Somewhere
Locality: Unknown
Organization: OpenWrtf1242de8
Common Name: OpenWrt

Serial Number: 5C 48 CD 51 0D 4A 9C 09 

Version: 3

Signature Algorithm: ECDSA With SHA-256

Not Valid Before: Dec 21 17:34:44 2024 GMT
Not Valid After: Dec 21 17:34:44 2026 GMT

Public Key Info: 

Algorithm: EC Public Key
Elliptic Curve: P256
Key Length: 256 bits
Public Key X: F9 B0 17 CA 06 8B 1B 79 51 0D 5B BC 40 CA F8 99 89 4A C1 61 
              82 44 64 23 2D A9 82 7F B9 3D F0 70 
Public Key Y: 19 B2 0E E9 03 5B E0 FB 4A 4C 87 07 9D 0B DE C7 D4 7A 84 22 
              7E 70 1B F7 5E E6 47 34 28 BC 1B B4 

Signature Length: 71 bytes / 568 bits
Signature: 00 30 45 02 20 1C 74 2A 4E BF 67 9D F4 1F 0C 11 58 6E 79 3D 
           A6 CA 2B E8 77 96 E3 EE 7A 87 07 87 82 1F B4 44 E4 02 21 00 
           A6 C1 1E 0A BD 5E 51 F9 DA 47 A5 AC D2 2E C3 04 0E D0 CD 33 
           95 8D 38 89 16 4E 7E 0E 2C B4 79 87 

Extension: Basic Constraints (2.5.29.19)
Critical: 0


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 71 73 D4 B1 A1 4E E1 00 E2 0A 65 40 56 87 B1 1E 2A 7A 61 A2 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 71 73 D4 B1 A1 4E E1 00 E2 0A 65 40 56 87 B1 1E 2A 7A 61 A2 


Fingerprints : 

SHA-256 Fingerprint: 95 21 AE FC 2A 92 13 25 2B 6D 0C 49 91 9E FB 3B 92 C9 A9 D8 
                     38 3A 43 A1 12 A0 02 E1 3C 0A 5B E2 
SHA-1 Fingerprint: 92 28 98 4E 47 5B 04 CE F9 41 8A A7 02 47 F9 2E FD BA 4A 60 
MD5 Fingerprint: 46 93 7D 8A A2 4B EB B9 A5 B7 BB 32 13 8C A1 00 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIICATCCAaegAwIBAgIIXEjNUQ1KnAkwCgYIKoZIzj0EAwIwXzELMAkGA1UEBhMCWloxEjAQBgNVBAgMCVNvbWV3aGVyZTEQMA4GA1UEBwwHVW5rbm93bjEYMBYGA1UECgwPT3BlbldydGYxMjQyZGU4MRAwDgYDVQQDDAdPcGVuV3J0MB4XDTI0MTIyMTE3MzQ0NFoXDTI2MTIyMTE3MzQ0NFowXzELMAkGA1UEBhMCWloxEjAQBgNVBAgMCVNvbWV3aGVyZTEQMA4GA1UEBwwHVW5rbm93bjEYMBYGA1UECgwPT3BlbldydGYxMjQyZGU4MRAwDgYDVQQDDAdPcGVuV3J0MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAE+bAXygaLG3lRDVu8QMr4mYlKwWGCRGQjLamCf7k98HAZsg7pA1vg+0pMhwedC97H1HqEIn5wG/de5kc0KLwbtKNNMEswCQYDVR0TBAIwADAdBgNVHQ4EFgQUcXPUsaFO4QDiCmVAVoexHip6YaIwHwYDVR0jBBgwFoAUcXPUsaFO4QDiCmVAVoexHip6YaIwCgYIKoZIzj0EAwIDSAAwRQIgHHQqTr9nnfQfDBFYbnk9psor6HeW4+56hweHgh+0ROQCIQCmwR4KvV5R+dpHpazSLsMEDtDNM5WNOIkWTn4OLLR5hw==
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11002","","","None","192.168.1.1","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11002","","","None","192.168.1.1","udp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11219","","","None","192.168.1.1","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/02/12","","",""
"11219","","","None","192.168.1.1","tcp","53","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 53/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/02/12","","",""
"11219","","","None","192.168.1.1","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/02/12","","",""
